id,store,title,price,info,search_value,link,image_url
1869,Jarir,The Compendium of Currant and Gooseberry Growing - Including Information on Propagation,"SR
164",Planting Pruning Pests Varieties,MacBook Pro,https://www.jarir.com/sa-en/default-category/the-compendium-of-currant-and-gooseberry-growing-including-information-on-9781446538432.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/c/e/f/1/cef13d9a740fb78b59de164a3a0c997d3ff573a6_9781446538432.jpg"
1870,Jarir,On Some Revenue Matters: Chiefly In The Province Of Oudh (1876),"SR
164",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/on-some-revenue-matters-chiefly-in-the-province-of-oudh-1876-9781104303136.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/4/2/0/1/4201a502e3724d1c1b21baf2f71b195df4c46b93_9781104303136.jpg"
1871,Jarir,Foil and Sabre - A Grammar of Fencing in Detailed Lessons for the Professor and Pupil,"SR
100",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/foil-and-sabre-a-grammar-of-fencing-in-detailed-lessons-for-the-professor-9781473332829.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/1/f/e/c/1fec0c5854bf23b07c15ac512cd432c2050bec8f_9781473332829.jpg"
1872,Jarir,Practical Training for Running,"SR
82",Walking Rowing Wrestling Boxing,MacBook Pro,https://www.jarir.com/sa-en/default-category/practical-training-for-running-walking-rowing-wrestling-boxing-jumping-9781473337992.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/3/1/1/9/311952ab4e8f3a7871bb36b8e3c4252071491cf7_9781473337992.jpg"
1873,Jarir,A Novel Framework for Optimal Design of Multimodal Winding Machines,"SR
203",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/a-novel-framework-for-optimal-design-of-multimodal-winding-machines-9786206141853.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/a/7/6/0/a7603c7be6d8dc43023ddcd7d2fe8ebee2396e4e_9786206141853.jpg"
1874,Jarir,Jiu-Jitsu Combat Tricks - Japanese Feats of Attack and Defence in Personal Encounter - Illustrated with Thirty-Two Photographs Taken from Life by A. B,"SR
87",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/jiu-jitsu-combat-tricks-japanese-feats-of-attack-and-defence-in-personal-9781528709064.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/9/7/2/3/972390f324dff7f26de44a8634989f07e4271ecb_9781528709064.jpg"
1875,Jarir,Small Dynamos and How to Make Them - Practical Instruction on Building a Variety of Machines Including Electric Motors,"SR
117",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/small-dynamos-and-how-to-make-them-practical-instruction-on-building-a-va-9781444699401.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/5/6/7/0/5670e775c4015d8e16590b09c44f931c048e0752_9781444699401.jpg"
1876,Jarir,Home Gymnastics - For Young and Old - With 59 Illustrations,"SR
87",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/home-gymnastics-for-young-and-old-with-59-illustrations-9781528709002.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/f/c/4/8/fc488721e8e4ce4cdeef04ff4ff193a8f03a6eba_9781528709002.jpg"
1877,Jarir,A Course of Jiu-Jitsu and Physical Culture - Jiu-Jitsu Diploma Revised from the Govenor of Nagasaki,"SR
74",Japan,MacBook Pro,https://www.jarir.com/sa-en/default-category/a-course-of-jiu-jitsu-and-physical-culture-jiu-jitsu-diploma-revised-from-9781528709057.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/1/b/c/7/1bc7ecfeacc6d749e6620b6633312af33145f598_9781528709057.jpg"
1878,Jarir,Apple MacBook Pro 13 M2 Retina + Touch Bar Laptop,"SR
5,249","13.3"" M2 8 GB RAM",MacBook Pro,https://www.jarir.com/sa-en/default-category/apple-laptops-589228.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/0/f/3/b/0f3bf30bcb9a5d97cd8e62a71ca58eb5401047df_589228.jpg"
